sim_id	seed	gene	sim_method	sim_path	log_path	n_causal	n_tissues	causal_per_tissue	pve
pbrujjgfiq	2720916997	ENSG00000173209.22	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/pbrujjgfiq/pbrujjgfiq.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/pbrujjgfiq/pbrujjgfiq.log	34	200	3	0.2
pobdztjzaw	724020057	ENSG00000117523.15	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/pobdztjzaw/pobdztjzaw.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/pobdztjzaw/pobdztjzaw.log	54	500	3	0.2
vchklkcrpb	3350992542	ENSG00000142252.10	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vchklkcrpb/vchklkcrpb.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vchklkcrpb/vchklkcrpb.log	77	1000	3	0.2
vftzqaksst	4013479931	ENSG00000172828.12	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vftzqaksst/vftzqaksst.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vftzqaksst/vftzqaksst.log	24	100	3	0.2
wkkfrxzrbu	170948819	ENSG00000275379.1	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/wkkfrxzrbu/wkkfrxzrbu.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/wkkfrxzrbu/wkkfrxzrbu.log	34	200	3	0.2
cmhjigflfy	2742513410	ENSG00000075131.9	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/cmhjigflfy/cmhjigflfy.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/cmhjigflfy/cmhjigflfy.log	54	500	3	0.2
llyhjlbumo	3875862828	ENSG00000142303.13	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/llyhjlbumo/llyhjlbumo.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/llyhjlbumo/llyhjlbumo.log	77	1000	3	0.2
ztvrhmjdie	2696681103	ENSG00000102466.15	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ztvrhmjdie/ztvrhmjdie.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ztvrhmjdie/ztvrhmjdie.log	24	100	3	0.2
apladxriop	3765091570	ENSG00000120696.8	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/apladxriop/apladxriop.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/apladxriop/apladxriop.log	34	200	3	0.2
mtirowwtzg	4047308266	ENSG00000163528.12	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/mtirowwtzg/mtirowwtzg.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/mtirowwtzg/mtirowwtzg.log	54	500	3	0.2
jpoxbatvfo	3939571484	ENSG00000127325.18	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/jpoxbatvfo/jpoxbatvfo.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/jpoxbatvfo/jpoxbatvfo.log	77	1000	3	0.2
xutllmlykv	1611862227	ENSG00000155085.15	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xutllmlykv/xutllmlykv.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xutllmlykv/xutllmlykv.log	24	100	3	0.2
sjzuwlmwoe	961387191	ENSG00000161914.9	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/sjzuwlmwoe/sjzuwlmwoe.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/sjzuwlmwoe/sjzuwlmwoe.log	34	200	3	0.2
rbsklrofed	2578395746	ENSG00000182107.6	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/rbsklrofed/rbsklrofed.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/rbsklrofed/rbsklrofed.log	54	500	3	0.2
ekiggehfvi	2260434818	ENSG00000161558.10	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ekiggehfvi/ekiggehfvi.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ekiggehfvi/ekiggehfvi.log	77	1000	3	0.2
